id,username,created_at,lng,lat,text
1517250807636369408,aka12144,Thu Apr 21 21:15:56 +0000 2022,-81.97270499999999,28.049601000000003,@NotHoodlum It won't work
1517250808814850048,Kesswylie,Thu Apr 21 21:15:56 +0000 2022,-118.36964499999999,34.0870095,@GavinVerhey I do the same though I like sort each color all at once as I open packs With rares going in separate piles
1517250809511268352,fadergator,Thu Apr 21 21:15:56 +0000 2022,-75.117998,40.0048655,@justjess_PhD I had a nap loveseat in my last office and it was so needed so many times.
1517250809485926400,_Elizabetta_,Thu Apr 21 21:15:56 +0000 2022,-122.14403,37.414371,"@JigglyCaliente4 Thank you for chatting with me. It just shows how big a heart rests in you smaller person, my dear!"
1517250810287202304,AdLib716,Thu Apr 21 21:15:56 +0000 2022,-78.74736899999999,42.7677015,"@Kelly2980 Hey, looking good, Dad!"
1517250810412863490,stevieboy1230,Thu Apr 21 21:15:57 +0000 2022,-117.397616,33.935822,"@Jim_Jordan @IngrahamAngle That's ""Fox Entertainment News"" Even a judge said "" No-one in their right mind would bel… https://t.co/qKTjEN1Epx"
1517250810924646401,april_riverss,Thu Apr 21 21:15:57 +0000 2022,-100.0768885,31.1688935,I fckin- LMAO
1517250812182937601,Philip_Germain,Thu Apr 21 21:15:57 +0000 2022,-77.0143985,38.898602999999994,@MikeSington Slow day for ya?
1517250815152377857,mjoeshorty,Thu Apr 21 21:15:58 +0000 2022,-106.026119,34.166235,Good Afternoon 💋 the thoughts of goodness is essential 🤍
1517250816133935104,moogc1ty,Thu Apr 21 21:15:58 +0000 2022,-112.12467649999999,33.5528625,@haleydirtysoul i thought ud get them all?
1517250817249656833,LovelyLeeanne96,Thu Apr 21 21:15:58 +0000 2022,-80.66766150000001,28.2756395,PictureThis - Instantly identify your plants.https://t.co/6BFIX8HAYW
1517250816029171712,OnlyInSouthFL,Thu Apr 21 21:15:58 +0000 2022,-80.12107327,25.8616242,Ocean Blue Condo Ⓜ️ @odinwallace Barbara Oleg.A Ben @piperhawk @topgold @olustewart Big Orozco @tvisio… https://t.co/qrc9wlCHo0
1517250818193383424,threadsanddecor,Thu Apr 21 21:15:58 +0000 2022,-95.59648,43.61979,Shoes for spring @threads_and_decor @ Threads and Decor LLC https://t.co/0dQiRlxwPr
1517250820240199681,MrChainsaw70,Thu Apr 21 21:15:59 +0000 2022,-77.60468399999999,41.1179365,@thetrainerclubb Nope
1517250820458225665,mariaajudice,Thu Apr 21 21:15:59 +0000 2022,-122.4359785,37.7706565,@canyoncinema @film_elephant @prismaticground Lets hope one of these Bay Area fests give me a break! I dont have th… https://t.co/AQoE0uhEQO
1517250820814876674,MilanLagerfeld,Thu Apr 21 21:15:59 +0000 2022,-95.44648649999999,29.838495,It’s some bout dark skins 🤤
1517250826502393856,novacanegoddess,Thu Apr 21 21:16:00 +0000 2022,-84.433106,33.7671945,YOU KNOW WE AINT NO MF FRIENDS
1517250826669989888,dallyboi___,Thu Apr 21 21:16:00 +0000 2022,-111.85839849999999,33.639340000000004,@DesLucrece For some reason when i went to verify my twitter it kept saying “user already verified” and wouldnt let… https://t.co/a9zWWtLFBy
1517250827240497153,doyle_dearman,Thu Apr 21 21:16:01 +0000 2022,-79.939979,40.5851415,"@susanemills2 @AnthonySabatini @Disney It's a huge multinational corporation who reaches out to their customers, whoever they are!!"
1517250827500412928,WilliamRich2012,Thu Apr 21 21:16:01 +0000 2022,-121.959531,37.813777,@Iplaywithgerms I trust your opinion more than those with no scientific background! I am a fan of the mask and will… https://t.co/ofSaGKsUGF
1517250828381347847,fooms1,Thu Apr 21 21:16:01 +0000 2022,-86.6807375,32.576227,@10FathomLine @RepLizCheney I thought all of the dinosaurs were extracted .
1517250831103381504,LaurenB2383,Thu Apr 21 21:16:01 +0000 2022,-112.12467649999999,33.5528625,"@ShirleyScurry Enjoy your time there, Grandma!!! Lovely picture! 🥰"
1517250832202452995,CoachWesCope,Thu Apr 21 21:16:02 +0000 2022,-97.22136449999999,32.939597500000005,This kid is starting to heat up! Going to have a GREAT Spring #RecruitKellerHigh
1517250833838067712,lindismith,Thu Apr 21 21:16:02 +0000 2022,-117.104989,32.810012,@jacqbryant @SanDiegoMag Fantastic news! Congratulations!
1517250833959821314,Cubsfan_97,Thu Apr 21 21:16:02 +0000 2022,-85.812437,38.7419825,@HonestBravesFan @ReneHer62167393 @BNightengale The Ozuna thing is a lot more complex too. Not to make excuses or p… https://t.co/YDNH8WUXq8
1517250834840576003,greger09,Thu Apr 21 21:16:02 +0000 2022,-84.3709725,39.184262000000004,@McAlisterOnAir @Bengals Plan A: Tyler Linderbaum Plan B: best CB available
1517250834890997762,EunoiaEvolve,Thu Apr 21 21:16:02 +0000 2022,-75.117998,40.0048655,Snacks and drink will be available ‼️
1517250837130539008,rprakash1212,Thu Apr 21 21:16:03 +0000 2022,-122.061771,47.67881250000001,@Loopifyyy Hope always helps ! You can do it!
1517250837814419458,MikeVanriel2,Thu Apr 21 21:16:03 +0000 2022,-73.9685415,40.780709,Prolific Raiders passer Lamonica dies at age 80 https://t.co/DiimnJMApJ
1517250839194259456,everylotboston,Thu Apr 21 21:16:03 +0000 2022,-71.0801508,42.2995464,"69 Greenwood Street, Boston https://t.co/mQ4gaKyJzZ"
1517250840163094529,OttawaNewsPulse,Thu Apr 21 21:16:04 +0000 2022,-75.69952087,45.41888766,"🚘 https://t.co/Srpn9Jjo94 → Watch: Texas pickup driver rolls coal on cyclist, faces backlash  … https://t.co/sPFpbfultN"
1517250840603635714,realjuststeph,Thu Apr 21 21:16:04 +0000 2022,-71.09829149999999,42.473158,I’m @Walgreens in @stoneham They are slow. Been waiting in drive thru for 10 minutes. With a long line of cars. #stupid.
1517250841513660417,NWSSevereTstorm,Thu Apr 21 21:16:04 +0000 2022,-93.69151209,37.581409,"Severe Thunderstorm Warning continues for Fair Play MO, Dadeville MO, Arcola MO until 4:45 PM CDT https://t.co/roLVOJXDOh"
1517250842205769729,ldywdefitness,Thu Apr 21 21:16:04 +0000 2022,-80.8467855,35.209058999999996,Burnside Farms looks like a whole blessing! 🌷 https://t.co/url7LV8Z8I
1517250843212492802,queeniqueniq,Thu Apr 21 21:16:04 +0000 2022,-83.1738665,32.6782075,Scooby snacks &amp; cookies n cream 🍃
1517250843598376961,tierrxo,Thu Apr 21 21:16:04 +0000 2022,-71.112377,42.3781975,"@Tutss__ happy birthday babe 😘😘 , hope you’re having a fab day T ❤️"
1517250843766108160,lilolemariibtc,Thu Apr 21 21:16:04 +0000 2022,-84.4703885,33.631277499999996,get off my twitter if you looking for answers. you gone leave confused or upset 😂😂
1517250843833249792,CreatedToBHated,Thu Apr 21 21:16:04 +0000 2022,-75.117998,40.0048655,Hitting the blunt.
1517250843862396929,ifinditinspects,Thu Apr 21 21:16:04 +0000 2022,-122.6599,49.1033,"Just posted a photo @ Langley, British Columbia https://t.co/wnE2kw5D0M"
1517250844122435584,BradBaker81,Thu Apr 21 21:16:05 +0000 2022,-110.9155735,32.1893905,@ArizonaDOT Hello! Do you know if there's a timeline for the freeway closure near Picacho Peak? Trying to figure ou… https://t.co/Ru9qazLVt6
1517250844374282240,RichardDormanJ3,Thu Apr 21 21:16:05 +0000 2022,-80.926628,33.6311395,"PR has voted for statehood multiple times. If we’re not going to admit theme now, it’s time to start talking about… https://t.co/NumHilVfFu"
1517250844412059649,bluejapanbird,Thu Apr 21 21:16:05 +0000 2022,-93.80943400000001,32.461107,"@IlPuyoPuyotchi An organization of kids fighting against adult tyranny, three girls made in a lab fight bad guys, a… https://t.co/SCo5cscVQt"
1517250844495917056,tleehumphrey,Thu Apr 21 21:16:05 +0000 2022,-76.593943,24.074967,@VoiceOfFranky is a grade A #JackWagon who sobered up &amp; realized he destroyed his company. There’s no cleaning this… https://t.co/5Ma0O2fi73
1517250844659679232,Duncan_Quinn,Thu Apr 21 21:16:05 +0000 2022,-73.9963253,40.7209351,Getting into the spirit of the weekend early...#duncanquinn #wolvesnotsheep #gentlemenrogues #bespoketailoring… https://t.co/rd8vxdslq2
1517250845355610112,SuperOlish,Thu Apr 21 21:16:05 +0000 2022,-110.9155735,32.1893905,"@danmartinezUA @uarizonahsi @uarizona @marla_franco Fierce! Once I am well established in my own department, for sure I will apply!"
1517250846307733504,Munker__,Thu Apr 21 21:16:05 +0000 2022,-118.4119065,34.0207895,I have 1 LARS tickets and 1 Gold parking pass for Saturday's game. Hmu or DM me.
1517250846534209536,tmj_GAS_transp,Thu Apr 21 21:16:05 +0000 2022,-81.1747498,32.1047515,This #Transportation job might be a great fit for you. Click the link in our bio to see it and more. Driver CDL A a… https://t.co/O6w79wiebq
1517250847020773376,tmj_LAJ_secure,Thu Apr 21 21:16:05 +0000 2022,-117.2712717,32.8328112,"Want to work at Allied Universal? We're hiring in San Diego, CA! Click the link in our bio for details on this job… https://t.co/A7NduYoJpA"
1517250847612284928,Crypto33Miggy,Thu Apr 21 21:16:05 +0000 2022,-97.1031385,33.030083000000005,@Bitwax_ @BCVirtualish @boonkbots_xyz @SugarClub_ @warpsound_ai @HeadsSynth @DAOrecords_ @Uniquehorns_nft… https://t.co/FBY8XU4BvE
1517250848157487104,terintinojones5,Thu Apr 21 21:16:06 +0000 2022,-83.099288,42.3527865,@justbcool2 I swear
1517250849789165569,MADE_FILMS,Thu Apr 21 21:16:06 +0000 2022,-97.778891,26.4761885,You need a personal film crew to follow you day to day @elonmusk it would make a great reality show. To Mars and ba… https://t.co/8BdUld2Su5
1517250849919090688,Ajju420,Thu Apr 21 21:16:06 +0000 2022,-87.87606,42.022177,#niu roomies #homedepot crew @ Paradise Pup https://t.co/8WkVWl3Hql
1517250850250498049,ROBERTSILVA5768,Thu Apr 21 21:16:06 +0000 2022,-73.9685415,40.780709,Next stop. Arizona
1517250850627805184,DemonEvilMuscle,Thu Apr 21 21:16:06 +0000 2022,-117.0226945,38.502147,@JustTalkWrestle Not to mention let’s be honest Tony would have no idea how to use a guy like Bray Wyatt
1517250851496251393,mattsm00th,Thu Apr 21 21:16:06 +0000 2022,-73.022108,41.5665785,@Fightful It’s a little too late for that since that bridge is already nuked to hell
1517250851349409793,CopierCollin,Thu Apr 21 21:16:06 +0000 2022,-95.44648649999999,29.838495,Anyone else? 🙋🏻‍♂️ https://t.co/BNBDjSya5E
1517250852469317633,_Jospivey,Thu Apr 21 21:16:07 +0000 2022,-97.86188250000001,27.500592500000003,@Richie54Salinas Possibly 😎 it would have to be silver with dark patina!
1517250852599304192,JSGreer731,Thu Apr 21 21:16:07 +0000 2022,-87.911493,30.639334,"Such a beautiful campus. If you’re a sports fan, you should visit the @USSportsAcademy. https://t.co/iFDIt0KloE"
1517250854574772224,jazzrat2000,Thu Apr 21 21:16:07 +0000 2022,-80.16304199999999,26.4422735,@jodyjsperling depends
1517250854461460480,NWSSpringfield,Thu Apr 21 21:16:07 +0000 2022,-93.69151209,37.581409,"Severe Thunderstorm Warning continues for Fair Play MO, Dadeville MO, Arcola MO until 4:45 PM CDT https://t.co/KUMyXvcnAu"
1517250854021177347,PokemonMax,Thu Apr 21 21:16:07 +0000 2022,-87.942283,41.8897245,90 cards in 30 days #Giveaway 63 of 90Like RT &amp; follow @PokemonMax Winner picked in 8hrs (12midnight CST)Winn… https://t.co/MC05RvbZOE
1517250855275094017,tmj_hou_health,Thu Apr 21 21:16:07 +0000 2022,-95.6160549,30.0971621,We believe that our colleagues are worth more than a paycheck. That is why we provide them with a number of other b… https://t.co/KvHIflzVrA
1517250855203786752,tmj_ash_nursing,Thu Apr 21 21:16:07 +0000 2022,-82.7342919,35.2334472,"Wesley Healthcare provides exceptional healthcare to thousands of families in Wichita. We treat over 24,000 patient… https://t.co/TbqWl5Z0hI"
1517250856055308288,cathiebun,Thu Apr 21 21:16:07 +0000 2022,-117.0226945,38.502147,"@sparrowjess9 Don’t tell him, but I did bring some steak home and he will get a little bit later!"
1517250856198025229,baltimorebeer,Thu Apr 21 21:16:07 +0000 2022,-76.5779724,39.2811508,Drinking an Over the Falls by @lostrhino at @mahaffeyspub — https://t.co/jj43A1zIAz
1517250856332185600,iamthedvd,Thu Apr 21 21:16:07 +0000 2022,-81.3677725,28.501678499999997,@89srlb I totally agree!
1517250856554487808,crybabyoakland,Thu Apr 21 21:16:08 +0000 2022,-122.26955,37.80845,Just posted a photo @ Crybaby https://t.co/8Q3A50WUcP
1517250856474750976,TheBayhound,Thu Apr 21 21:16:07 +0000 2022,-122.2286855,37.791994,Anyway… https://t.co/58WGCLvSHN
1517250858244792322,OtherTerenceJ,Thu Apr 21 21:16:08 +0000 2022,-71.09140049999999,42.780778,@CanCGDallas @CAFinUS @WWIImuseum Right hand SALUTE!
1517250857984737287,ItsTexasT03,Thu Apr 21 21:16:08 +0000 2022,-92.4367735,38.3045585,What y'all fake caring about today? 🤔 https://t.co/MSGvDtwFqG
1517250858274197504,ericfliegelman,Thu Apr 21 21:16:08 +0000 2022,-74.9152835,40.15535,BREAKING NEWS:  In Tribute to Sid Mark- @1210WPHT will air a Special “Friday with Frank” this Friday April 22nd fro… https://t.co/vZdCvqXmGf
1517250859918319618,scottklimek2,Thu Apr 21 21:16:08 +0000 2022,-80.2421494,39.3335533,"A berry explosion! Reminds me of berry picking in 80’s ~ 85+ degrees 60% humidity, not a care in the world (except… https://t.co/5Vd19WFlJy"
1517250862288195584,vansciverju,Thu Apr 21 21:16:09 +0000 2022,-75.117998,40.0048655,Penelope needs a tether ball
1517250862225235968,samtosane,Thu Apr 21 21:16:09 +0000 2022,-75.4660545,40.257594499999996,@hun_chooo @KingZilch @nytimes He lost the election but he said he won and tried to overthrow the gov't so he can r… https://t.co/SeezKBdyYx
1517250862594379777,2nd_half_,Thu Apr 21 21:16:09 +0000 2022,-83.13928100000001,40.1252735,@carriebear421 happy birthday!
1517250862070050819,DJSamSneak,Thu Apr 21 21:16:09 +0000 2022,-80.24128300000001,25.8213005,@MDCPS @MyFDOT Funny. This y’all drivers https://t.co/BgGE7ocIvL
1517250863240298496,finallytrell,Thu Apr 21 21:16:09 +0000 2022,-80.2602905,25.904155,Happy THRIVING Thursday to you! Enjoy the rest of your day! #thatisall #Betteriscoming https://t.co/4ZeKEboF0C
1517250864645382144,EmilyCWaldon,Thu Apr 21 21:16:09 +0000 2022,-85.500712,42.913149,Thank…you?
1517250864804626433,HibiscusLynn,Thu Apr 21 21:16:09 +0000 2022,-122.630908,45.536402,@Just_Calypso01 WOO-HOO. How does mew like your new digs?#nipclub
1517250866255904768,LeamountLyfe,Thu Apr 21 21:16:10 +0000 2022,-76.593943,24.074967,DM: “what music artist served as inspiration during the writing and recording phases”
1517250867950465031,LeamountLyfe,Thu Apr 21 21:16:10 +0000 2022,-76.593943,24.074967,for this project I needed to tap into my aggression in a different way but also into my honesty.I listen to a lot… https://t.co/cMDewpRMMg
1517250868504059910,joshclackler,Thu Apr 21 21:16:10 +0000 2022,-86.760091,33.385555,@SuperWillSports people are asking
1517250867631734785,Columbia_Craft,Thu Apr 21 21:16:10 +0000 2022,-80.926628,33.6311395,"Citrus All-Pro, 6% abv DDH Pale ale. 1st All-Pro run of '22 now on tap. Plunge into aromas of resin, fruit roll up,… https://t.co/agK4WlNOqi"
1517250868319592454,JillieeV,Thu Apr 21 21:16:10 +0000 2022,-81.39281273,28.44654386,Just posted a photo @ Dillard's https://t.co/lI3XL6dZgg
